Unique.ID,country,latitude,longitude,Basin.ID,start.year,end.year,num.year,dur.year,eqr.start,eqr.end,eqr.change,richness,rich.rarefied,rich.coverage,ab,fd,trait.ses,taxa.comp,trait.comp,id.level,richness_circularity,ab_circularity,taxa_circularity,trait_circularity
ENG_062_MZB_LO_722,England,50.79311376,-4.061400983,1174095,2013,2022,7,10,0.957615013,0.976543392,0.018928379,1.097324,-0.092068,-0.457407,1.66817,1.470577,-0.084882746,0.050412,0.007046,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_724,England,50.79873869,-3.638751909,1173451,2009,2023,14,15,1.016551835,0.981590526,-0.034961309,-0.844749,-0.178404,3.833894,-1.303125,-0.558334,0.035118648,0.083554,0.020089,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_727,England,50.41568371,-4.980144742,1160491,2002,2019,14,18,0.961427156,1.04345937,0.082032214,-0.398537,0.454478,1.449537,-4.185205,-1.393188,-0.08577764,0.036178,0.008786,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_729,England,50.48346751,-4.800846195,1173449,2009,2022,7,14,1.021122434,1.027531536,0.006409102,1.273905,0.966952,-1.405304,0.980778,2.014731,-0.01422094,0.057769,0.013923,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_732,England,50.39324538,-5.05444331,1164779,2002,2021,7,20,1.051633417,0.981152469,-0.070480948,0.742149,0.294432,0.438025,0.672911,0.997411,-0.067020083,0.035455,0.004276,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_734,England,50.87667845,-4.556242141,1148817,2003,2022,8,20,0.980935864,0.922629567,-0.058306297,0.33424,0.043148,-1.292019,0.913185,0.848881,-0.004999477,0.036481,0.005325,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_735,England,50.80611438,-4.529533435,1163215,2004,2022,7,19,0.922783547,0.963490294,0.040706747,-0.959372,0.995716,1.405553,-9.283977,-1.083306,0.023655089,0.051542,0.010473,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_737,England,51.34369185,-2.737928902,1160738,2002,2015,7,14,1.042288057,1.028834041,-0.013454015,-0.008716,0.636045,6.514449,0.655945,-0.667444,-0.062314532,0.034026,0.016691,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_74,England,53.33635275,-1.508980911,1174178,2003,2013,7,11,0.875738988,0.910825213,0.035086225,-1.881095,-1.008398,-1.480767,-7.38641,-3.225869,0.143655882,0.098144,0.019022,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_741,England,50.96428004,-2.808781447,1174098,2003,2019,9,17,0.709217004,0.741932314,0.03271531,3.692389,1.955022,-0.468502,5.950742,6.791077,-0.021035911,0.071734,0.021005,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_746,England,50.90307135,-2.633505244,1174098,2003,2023,17,21,0.921437478,0.804410092,-0.117027385,0.048875,0.042135,1.316258,-2.841597,0.012665,-0.007360976,0.005956,0.009384,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_750,England,50.92203847,-2.566852458,1174098,2002,2018,12,17,0.996714485,1.005241995,0.00852751,0.814974,-0.755341,-3.386949,1.908629,0.899222,-0.002467943,0.032141,0.003136,Family,FALSE,FALSE,FALSE,FALSE
